Model,Training set size (s),replicate_num,Window Size,variable,value,Post-processing,Metric
ConvTemporalConvNet,1800.0,4,4000,character_error_rate_tfm,1.78692042827606,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,4000,character_error_rate_tfm,2.09153089672327,True,Character Error Rate (%)
TweetyNet,1800.0,1,64,precision,78.51478457450867,False,Precision (%)
TweetyNet,1800.0,2,64,precision,80.11370897293091,False,Precision (%)
TweetyNet,1800.0,3,64,precision,78.37115526199341,False,Precision (%)
TweetyNet,1800.0,4,64,precision,77.16542482376099,False,Precision (%)
TweetyNet,1800.0,5,64,precision,79.1730284690857,False,Precision (%)
TweetyNet,1800.0,1,176,precision,89.15681838989258,False,Precision (%)
TweetyNet,1800.0,2,176,precision,87.71880865097046,False,Precision (%)
TweetyNet,1800.0,3,176,precision,88.44309449195862,False,Precision (%)
TweetyNet,1800.0,4,176,precision,85.95119118690491,False,Precision (%)
TweetyNet,1800.0,5,176,precision,87.98154592514038,False,Precision (%)
TweetyNet,1800.0,1,1000,precision,90.60521721839903,False,Precision (%)
TweetyNet,1800.0,2,1000,precision,87.44208216667175,False,Precision (%)
TweetyNet,1800.0,3,1000,precision,92.29047298431396,False,Precision (%)
TweetyNet,1800.0,4,1000,precision,87.54450678825378,False,Precision (%)
TweetyNet,1800.0,5,1000,precision,91.21013879776,False,Precision (%)
TweetyNet,1800.0,1,2000,precision,93.0871307849884,False,Precision (%)
TweetyNet,1800.0,2,2000,precision,92.1176254749298,False,Precision (%)
TweetyNet,1800.0,3,2000,precision,90.8213436603546,False,Precision (%)
TweetyNet,1800.0,4,2000,precision,91.02349281311037,False,Precision (%)
TweetyNet,1800.0,5,2000,precision,89.05611634254456,False,Precision (%)
TweetyNet,1800.0,1,4000,precision,91.8909788131714,False,Precision (%)
TweetyNet,1800.0,2,4000,precision,92.07266569137572,False,Precision (%)
TweetyNet,1800.0,3,4000,precision,92.35935807228088,False,Precision (%)
TweetyNet,1800.0,4,4000,precision,93.587726354599,False,Precision (%)
TweetyNet,1800.0,5,4000,precision,93.69008541107178,False,Precision (%)
TemporalConvNet,1800.0,1,64,precision,59.6265971660614,False,Precision (%)
TemporalConvNet,1800.0,2,64,precision,62.40764856338501,False,Precision (%)
TemporalConvNet,1800.0,3,64,precision,60.62631011009216,False,Precision (%)
TemporalConvNet,1800.0,4,64,precision,56.49170279502869,False,Precision (%)
TemporalConvNet,1800.0,5,64,precision,55.316078662872314,False,Precision (%)
TemporalConvNet,1800.0,1,176,precision,71.16982340812683,False,Precision (%)
TemporalConvNet,1800.0,2,176,precision,71.07078433036804,False,Precision (%)
TemporalConvNet,1800.0,3,176,precision,73.15501570701599,False,Precision (%)
TemporalConvNet,1800.0,4,176,precision,71.27434015274048,False,Precision (%)
TemporalConvNet,1800.0,5,176,precision,68.22358965873718,False,Precision (%)
TemporalConvNet,1800.0,1,1000,precision,84.26259160041809,False,Precision (%)
TemporalConvNet,1800.0,2,1000,precision,82.84227252006531,False,Precision (%)
TemporalConvNet,1800.0,3,1000,precision,83.95830392837524,False,Precision (%)
TemporalConvNet,1800.0,4,1000,precision,81.19977712631226,False,Precision (%)
TemporalConvNet,1800.0,5,1000,precision,81.57832026481628,False,Precision (%)
TemporalConvNet,1800.0,1,2000,precision,85.94577312469482,False,Precision (%)
TemporalConvNet,1800.0,2,2000,precision,84.84309911727905,False,Precision (%)
TemporalConvNet,1800.0,3,2000,precision,85.95898747444153,False,Precision (%)
TemporalConvNet,1800.0,4,2000,precision,85.35183072090149,False,Precision (%)
TemporalConvNet,1800.0,5,2000,precision,84.89787578582764,False,Precision (%)
TemporalConvNet,1800.0,1,4000,precision,86.41023635864258,False,Precision (%)
TemporalConvNet,1800.0,2,4000,precision,85.12324094772339,False,Precision (%)
TemporalConvNet,1800.0,3,4000,precision,87.23875880241394,False,Precision (%)
TemporalConvNet,1800.0,4,4000,precision,86.50763630867004,False,Precision (%)
TemporalConvNet,1800.0,5,4000,precision,85.72988510131836,False,Precision (%)
ConvTemporalConvNet,1800.0,1,64,precision,66.4175808429718,False,Precision (%)
ConvTemporalConvNet,1800.0,2,64,precision,65.83927869796753,False,Precision (%)
ConvTemporalConvNet,1800.0,3,64,precision,67.71184802055359,False,Precision (%)
ConvTemporalConvNet,1800.0,4,64,precision,63.354867696762085,False,Precision (%)
ConvTemporalConvNet,1800.0,5,64,precision,72.26722240447998,False,Precision (%)
ConvTemporalConvNet,1800.0,1,176,precision,81.08064532279968,False,Precision (%)
ConvTemporalConvNet,1800.0,2,176,precision,79.82337474822998,False,Precision (%)
ConvTemporalConvNet,1800.0,3,176,precision,78.8337230682373,False,Precision (%)
