Model,Training set size (s),replicate_num,Loss,variable,value,Post-processing,Metric
ConvTemporalConvNet,1800.0,5,CE+gsTMSE,recall,96.8990683555603,False,Recall (%)
TweetyNet,1800.0,1,CE,recall_tfm,95.64781785011292,True,Recall (%)
TweetyNet,1800.0,2,CE,recall_tfm,95.83974480628969,True,Recall (%)
TweetyNet,1800.0,3,CE,recall_tfm,95.26784420013428,True,Recall (%)
TweetyNet,1800.0,4,CE,recall_tfm,95.09009718894958,True,Recall (%)
TweetyNet,1800.0,5,CE,recall_tfm,95.43543457984924,True,Recall (%)
TweetyNet,1800.0,1,CE+TMSE,recall_tfm,95.371812582016,True,Recall (%)
TweetyNet,1800.0,2,CE+TMSE,recall_tfm,96.01365327835084,True,Recall (%)
TweetyNet,1800.0,3,CE+TMSE,recall_tfm,96.23319506645204,True,Recall (%)
TweetyNet,1800.0,4,CE+TMSE,recall_tfm,96.29451036453248,True,Recall (%)
TweetyNet,1800.0,5,CE+TMSE,recall_tfm,95.87638974189758,True,Recall (%)
TweetyNet,1800.0,1,CE+gsTMSE,recall_tfm,96.57958149909972,True,Recall (%)
TweetyNet,1800.0,2,CE+gsTMSE,recall_tfm,95.76049447059633,True,Recall (%)
TweetyNet,1800.0,3,CE+gsTMSE,recall_tfm,96.53961658477785,True,Recall (%)
TweetyNet,1800.0,4,CE+gsTMSE,recall_tfm,96.7499852180481,True,Recall (%)
TweetyNet,1800.0,5,CE+gsTMSE,recall_tfm,96.69496417045592,True,Recall (%)
ConvTemporalConvNet,1800.0,1,CE,recall_tfm,96.43790125846864,True,Recall (%)
ConvTemporalConvNet,1800.0,2,CE,recall_tfm,96.17815613746644,True,Recall (%)
ConvTemporalConvNet,1800.0,3,CE,recall_tfm,96.40231728553772,True,Recall (%)
ConvTemporalConvNet,1800.0,4,CE,recall_tfm,96.47496938705444,True,Recall (%)
ConvTemporalConvNet,1800.0,5,CE,recall_tfm,95.37270665168762,True,Recall (%)
ConvTemporalConvNet,1800.0,1,CE+TMSE,recall_tfm,96.89002633094788,True,Recall (%)
ConvTemporalConvNet,1800.0,2,CE+TMSE,recall_tfm,96.40192985534668,True,Recall (%)
ConvTemporalConvNet,1800.0,3,CE+TMSE,recall_tfm,97.13137149810792,True,Recall (%)
ConvTemporalConvNet,1800.0,4,CE+TMSE,recall_tfm,96.73013687133788,True,Recall (%)
ConvTemporalConvNet,1800.0,5,CE+TMSE,recall_tfm,97.16116786003111,True,Recall (%)
ConvTemporalConvNet,1800.0,1,CE+gsTMSE,recall_tfm,96.39586806297302,True,Recall (%)
ConvTemporalConvNet,1800.0,2,CE+gsTMSE,recall_tfm,96.66479229927064,True,Recall (%)
ConvTemporalConvNet,1800.0,3,CE+gsTMSE,recall_tfm,96.98514938354492,True,Recall (%)
ConvTemporalConvNet,1800.0,4,CE+gsTMSE,recall_tfm,97.08572626113892,True,Recall (%)
ConvTemporalConvNet,1800.0,5,CE+gsTMSE,recall_tfm,96.50478959083556,True,Recall (%)
TweetyNet,1800.0,1,CE,fscore,94.51000094413756,False,$F$-score (%)
TweetyNet,1800.0,2,CE,fscore,94.05854940414427,False,$F$-score (%)
TweetyNet,1800.0,3,CE,fscore,93.1437849998474,False,$F$-score (%)
TweetyNet,1800.0,4,CE,fscore,93.11783909797668,False,$F$-score (%)
TweetyNet,1800.0,5,CE,fscore,92.15393662452698,False,$F$-score (%)
TweetyNet,1800.0,1,CE+TMSE,fscore,94.89030838012697,False,$F$-score (%)
TweetyNet,1800.0,2,CE+TMSE,fscore,95.51761150360109,False,$F$-score (%)
TweetyNet,1800.0,3,CE+TMSE,fscore,95.87950706481934,False,$F$-score (%)
TweetyNet,1800.0,4,CE+TMSE,fscore,95.65502405166626,False,$F$-score (%)
TweetyNet,1800.0,5,CE+TMSE,fscore,95.06683349609376,False,$F$-score (%)
TweetyNet,1800.0,1,CE+gsTMSE,fscore,95.73919773101808,False,$F$-score (%)
TweetyNet,1800.0,2,CE+gsTMSE,fscore,94.82542276382446,False,$F$-score (%)
TweetyNet,1800.0,3,CE+gsTMSE,fscore,95.94878554344176,False,$F$-score (%)
TweetyNet,1800.0,4,CE+gsTMSE,fscore,96.02721333503725,False,$F$-score (%)
TweetyNet,1800.0,5,CE+gsTMSE,fscore,95.90935111045836,False,$F$-score (%)
ConvTemporalConvNet,1800.0,1,CE,fscore,92.98285245895386,False,$F$-score (%)
ConvTemporalConvNet,1800.0,2,CE,fscore,92.14707016944884,False,$F$-score (%)
ConvTemporalConvNet,1800.0,3,CE,fscore,92.65477657318117,False,$F$-score (%)
ConvTemporalConvNet,1800.0,4,CE,fscore,92.78349876403807,False,$F$-score (%)
ConvTemporalConvNet,1800.0,5,CE,fscore,90.62041640281676,False,$F$-score (%)
ConvTemporalConvNet,1800.0,1,CE+TMSE,fscore,94.18709874153136,False,$F$-score (%)
ConvTemporalConvNet,1800.0,2,CE+TMSE,fscore,93.67662668228148,False,$F$-score (%)
ConvTemporalConvNet,1800.0,3,CE+TMSE,fscore,94.1125512123108,False,$F$-score (%)
ConvTemporalConvNet,1800.0,4,CE+TMSE,fscore,93.76710653305054,False,$F$-score (%)
ConvTemporalConvNet,1800.0,5,CE+TMSE,fscore,93.95501613616945,False,$F$-score (%)
ConvTemporalConvNet,1800.0,1,CE+gsTMSE,fscore,93.24806332588196,False,$F$-score (%)
ConvTemporalConvNet,1800.0,2,CE+gsTMSE,fscore,93.835186958313,False,$F$-score (%)
ConvTemporalConvNet,1800.0,3,CE+gsTMSE,fscore,94.71786022186281,False,$F$-score (%)
ConvTemporalConvNet,1800.0,4,CE+gsTMSE,fscore,94.04380917549132,False,$F$-score (%)
ConvTemporalConvNet,1800.0,5,CE+gsTMSE,fscore,93.87643933296204,False,$F$-score (%)
TweetyNet,1800.0,1,CE,fscore_tfm,95.6726610660553,True,$F$-score (%)
TweetyNet,1800.0,2,CE,fscore_tfm,95.77797055244446,True,$F$-score (%)
TweetyNet,1800.0,3,CE,fscore_tfm,95.22746801376344,True,$F$-score (%)
TweetyNet,1800.0,4,CE,fscore_tfm,95.05783319473268,True,$F$-score (%)
TweetyNet,1800.0,5,CE,fscore_tfm,95.182603597641,True,$F$-score (%)
TweetyNet,1800.0,1,CE+TMSE,fscore_tfm,95.40078043937685,True,$F$-score (%)
TweetyNet,1800.0,2,CE+TMSE,fscore_tfm,96.04408740997314,True,$F$-score (%)
TweetyNet,1800.0,3,CE+TMSE,fscore_tfm,96.32439613342284,True,$F$-score (%)
TweetyNet,1800.0,4,CE+TMSE,fscore_tfm,96.29724025726318,True,$F$-score (%)
TweetyNet,1800.0,5,CE+TMSE,fscore_tfm,95.79488635063173,True,$F$-score (%)
TweetyNet,1800.0,1,CE+gsTMSE,fscore_tfm,96.57295346260072,True,$F$-score (%)
TweetyNet,1800.0,2,CE+gsTMSE,fscore_tfm,95.63894867897034,True,$F$-score (%)
TweetyNet,1800.0,3,CE+gsTMSE,fscore_tfm,96.6001272201538,True,$F$-score (%)
TweetyNet,1800.0,4,CE+gsTMSE,fscore_tfm,96.66231274604796,True,$F$-score (%)
TweetyNet,1800.0,5,CE+gsTMSE,fscore_tfm,96.61253690719604,True,$F$-score (%)
ConvTemporalConvNet,1800.0,1,CE,fscore_tfm,96.3302493095398,True,$F$-score (%)
ConvTemporalConvNet,1800.0,2,CE,fscore_tfm,95.89440822601318,True,$F$-score (%)
ConvTemporalConvNet,1800.0,3,CE,fscore_tfm,96.23403549194336,True,$F$-score (%)
ConvTemporalConvNet,1800.0,4,CE,fscore_tfm,96.3745892047882,True,$F$-score (%)
ConvTemporalConvNet,1800.0,5,CE,fscore_tfm,94.79576349258424,True,$F$-score (%)
ConvTemporalConvNet,1800.0,1,CE+TMSE,fscore_tfm,96.70288562774658,True,$F$-score (%)
ConvTemporalConvNet,1800.0,2,CE+TMSE,fscore_tfm,96.25166058540344,True,$F$-score (%)
ConvTemporalConvNet,1800.0,3,CE+TMSE,fscore_tfm,96.82497978210448,True,$F$-score (%)
ConvTemporalConvNet,1800.0,4,CE+TMSE,fscore_tfm,96.50058150291444,True,$F$-score (%)
ConvTemporalConvNet,1800.0,5,CE+TMSE,fscore_tfm,96.96191549301147,True,$F$-score (%)
ConvTemporalConvNet,1800.0,1,CE+gsTMSE,fscore_tfm,96.15051746368408,True,$F$-score (%)
ConvTemporalConvNet,1800.0,2,CE+gsTMSE,fscore_tfm,96.50564193725586,True,$F$-score (%)
ConvTemporalConvNet,1800.0,3,CE+gsTMSE,fscore_tfm,96.90353870391846,True,$F$-score (%)
ConvTemporalConvNet,1800.0,4,CE+gsTMSE,fscore_tfm,96.89528942108154,True,$F$-score (%)
ConvTemporalConvNet,1800.0,5,CE+gsTMSE,fscore_tfm,96.29040956497192,True,$F$-score (%)
TweetyNet,1800.0,1,CE,frame_error,1.5477955341339222,False,Frame Error (%)
TweetyNet,1800.0,2,CE,frame_error,1.5596270561218373,False,Frame Error (%)
TweetyNet,1800.0,3,CE,frame_error,1.6612052917480358,False,Frame Error (%)
TweetyNet,1800.0,4,CE,frame_error,1.6537427902221569,False,Frame Error (%)
TweetyNet,1800.0,5,CE,frame_error,1.8036246299743652,False,Frame Error (%)
TweetyNet,1800.0,1,CE+TMSE,frame_error,1.5678167343139648,False,Frame Error (%)
TweetyNet,1800.0,2,CE+TMSE,frame_error,1.5236318111419567,False,Frame Error (%)
TweetyNet,1800.0,3,CE+TMSE,frame_error,1.3972520828247181,False,Frame Error (%)
TweetyNet,1800.0,4,CE+TMSE,frame_error,1.4986217021942028,False,Frame Error (%)
TweetyNet,1800.0,5,CE+TMSE,frame_error,1.635819673538197,False,Frame Error (%)
TweetyNet,1800.0,1,CE+gsTMSE,frame_error,1.477980613708496,False,Frame Error (%)
TweetyNet,1800.0,2,CE+gsTMSE,frame_error,1.6427159309387207,False,Frame Error (%)
TweetyNet,1800.0,3,CE+gsTMSE,frame_error,1.509404182434082,False,Frame Error (%)
TweetyNet,1800.0,4,CE+gsTMSE,frame_error,1.4714002609252819,False,Frame Error (%)
TweetyNet,1800.0,5,CE+gsTMSE,frame_error,1.5208601951599232,False,Frame Error (%)
ConvTemporalConvNet,1800.0,1,CE,frame_error,1.5230298042297363,False,Frame Error (%)
ConvTemporalConvNet,1800.0,2,CE,frame_error,1.6882598400115967,False,Frame Error (%)
ConvTemporalConvNet,1800.0,3,CE,frame_error,1.5762805938720814,False,Frame Error (%)
ConvTemporalConvNet,1800.0,4,CE,frame_error,1.5003085136413574,False,Frame Error (%)
ConvTemporalConvNet,1800.0,5,CE,frame_error,1.8792510032653809,False,Frame Error (%)
ConvTemporalConvNet,1800.0,1,CE+TMSE,frame_error,1.4363467693328746,False,Frame Error (%)
ConvTemporalConvNet,1800.0,2,CE+TMSE,frame_error,1.4775037765502819,False,Frame Error (%)
ConvTemporalConvNet,1800.0,3,CE+TMSE,frame_error,1.4265477657318004,False,Frame Error (%)
ConvTemporalConvNet,1800.0,4,CE+TMSE,frame_error,1.473623514175415,False,Frame Error (%)
ConvTemporalConvNet,1800.0,5,CE+TMSE,frame_error,1.409369707107544,False,Frame Error (%)
ConvTemporalConvNet,1800.0,1,CE+gsTMSE,frame_error,1.619732379913319,False,Frame Error (%)
ConvTemporalConvNet,1800.0,2,CE+gsTMSE,frame_error,1.4429986476898193,False,Frame Error (%)
ConvTemporalConvNet,1800.0,3,CE+gsTMSE,frame_error,1.3788998126983643,False,Frame Error (%)
ConvTemporalConvNet,1800.0,4,CE+gsTMSE,frame_error,1.409381628036499,False,Frame Error (%)
ConvTemporalConvNet,1800.0,5,CE+gsTMSE,frame_error,1.4458954334259033,False,Frame Error (%)
TweetyNet,1800.0,1,CE,frame_error_tfm,1.5934944152832031,True,Frame Error (%)
TweetyNet,1800.0,2,CE,frame_error_tfm,1.609206199645996,True,Frame Error (%)
TweetyNet,1800.0,3,CE,frame_error_tfm,1.6796529293060414,True,Frame Error (%)
TweetyNet,1800.0,4,CE,frame_error_tfm,1.7005562782287598,True,Frame Error (%)
TweetyNet,1800.0,5,CE,frame_error_tfm,1.7441034317016602,True,Frame Error (%)
TweetyNet,1800.0,1,CE+TMSE,frame_error_tfm,1.621145009994518,True,Frame Error (%)
TweetyNet,1800.0,2,CE+TMSE,frame_error_tfm,1.5995979309082031,True,Frame Error (%)
TweetyNet,1800.0,3,CE+TMSE,frame_error_tfm,1.4554738998413197,True,Frame Error (%)
TweetyNet,1800.0,4,CE+TMSE,frame_error_tfm,1.5341401100158802,True,Frame Error (%)
TweetyNet,1800.0,5,CE+TMSE,frame_error_tfm,1.6900897026062012,True,Frame Error (%)
TweetyNet,1800.0,1,CE+gsTMSE,frame_error_tfm,1.4967143535614014,True,Frame Error (%)
TweetyNet,1800.0,2,CE+gsTMSE,frame_error_tfm,1.6702711582183838,True,Frame Error (%)
TweetyNet,1800.0,3,CE+gsTMSE,frame_error_tfm,1.5643715858459584,True,Frame Error (%)
TweetyNet,1800.0,4,CE+gsTMSE,frame_error_tfm,1.490473747253418,True,Frame Error (%)
TweetyNet,1800.0,5,CE+gsTMSE,frame_error_tfm,1.5665292739868164,True,Frame Error (%)
ConvTemporalConvNet,1800.0,1,CE,frame_error_tfm,1.4630556106567383,True,Frame Error (%)
